gchanan,1
Georg Ostrovski,15
Lumin Zhou,2
Nicholas Léonard,4
Jun Su,1
Taewoo Lee,4
Malcolm Reynolds,4
j-wilson,3
Leon Bottou,9
Jacob Menick,1
Jack Rae,1
Brandon Amos,5
ivpopov,1
Zico Kolter,1
Jonathan Tompson,2
Cliff Woolley,2
Adam Lerer,11
Arnaud Chauveur,2
Timothy Emerick,3
Linus Unnebäck,1
Sergio Gomez,8
Clement Farabet,56
Xiangyan Sun,1
nicholas-leonard,19
Anastasius,1
nkoumchatzky,3
Wen Li Zhuang,1
Frederic Besse,2
Gregory Chanan,3
Luke Alonso,2
Adria Puigdomenech,2
JT Bates,1
ztaylor,11
rguthrie3,4
Pierre-Francois Laquerre,1
Paul Kulchenko,1
Yotam Doron,1
Nicholas Leonard,11
Zeming Lin,1
Alban Desmaison,3
Jeff Rose,3
Francisco Massa,2
Jeff Johnson,1
Boris Fomitchev,6
Eddie,1
BTNC,2
Alfredo Canziani,7
Bart van Merriënboer,1
Cyprien de Masson,1
Hugh Perkins,10
Sam Gross,16
Muhaeb,1
The Gitter Badger,1
diz_vara,2
lake4790k,1
Mevlana Gemici,1
Jesús Navarrete,1
Andrew Robbins,1
George van den Driessche,2
Wojciech Czarnecki,1
Nicolas Koumchatzky,1
Ronan Collobert,144
tpltnt,1
Rudy Bunel,1
Koray Kavukcuoglu,3
Zhou Mo,4
Pedro Porto Buarque de Gusmao,1
Tzu-Wei Huang,1
Sergey Zagoruyko,1
jokeren,47
Robert,1
Will Frey,1
Conrado Miranda,2
Vladimir S. FONOV,1
Dan Horgan,12
marioyc,1
Joost van Doorn,3
Andreas Fidjeland,4
carwin,1
Ata Mahjoubfar,2
Tim Harley,30
Pavan Yalamanchili,9
Allan Jabri,2
marris,1
Shiva,1
Srinivasan Sriram,4
Cédric Deltheil,13
Howard Su,3
James Kirkpatrick,2
John Myles White,1
JonyEpsilon,1
Xinwei Geng,2
Massimo Bernava,1
Achal Dave,1
ludamad,1
samehkhamis,1
Ivo Danihelka,9
fsuzanomassa,2
GeorgOstrovski,11
Kieran Milan,1
ibmua,1
koray kavukcuoglu,71
Avi,1
Thomas Köppe,7
Marko Vitez,1
Will Feng,2
Rui Guo,8
Adam Paszke,19
Kaiyu Yang,2
Pontus Stenetorp,1
Li Dong,2
John Martin,1
Yori Zwols,12
Alvin Chua,2
albanD,3
Anton Bakhtin,1
Soumith Chintala,411
Tudor Bosman,2
David Saxton,4
Élie Michel,4
Laurynas,1
liboyue,4
cpuhrsch,1
Jonathan J Hunt,2
Liang Gong,1
Julien Cornebise,23
eulerreich,1
ngimel,1
atkayu,3
lran,1
Dominik Grewe,25
Julien,11
Jonas Gehring,1
Andreas Köpf,2
Prayag Verma,1
KeonKim,2
Trevor Killeen,2
Jonathan Hunt,2
Eric Cosatto,2
soumith,31
Grisson Wang,1
Jiahao Chen,1
